network,stations,st_lon,st_lat,st_elv,gr_cir_distance,rhypo,repi,mag,origint,Parrtime,collecttime,endtime,evlat,evlon,evdepth,channels
TA,F04D,-123.010803,46.082901,236.0,105.02693429887016,108.03123126313524,105.0269342989169,2.8,2011-04-28T10:08:00.730000Z,17.630532002745504,2011-04-28T10:08:08.360532Z,2011-04-28T10:11:08.360532Z,45.1773,-123.3955,25300.0,BH*
TA,F04D,-123.010803,46.082901,236.0,192.7448303628988,193.6888732783788,192.7448303634831,2.7,2011-04-05T21:05:52.900000Z,29.06974238508242,2011-04-05T21:06:11.969742Z,2011-04-05T21:09:11.969742Z,45.122,-120.954,19100.0,BH*
TA,F04D,-123.010803,46.082901,236.0,114.1497395374087,115.4985845649658,114.14973953763784,2.8,2011-03-20T18:02:53.790000Z,19.259583545637348,2011-03-20T18:03:03.049584Z,2011-03-20T18:06:03.049584Z,45.2598,-123.887,17600.0,BH*
TA,F04D,-123.010803,46.082901,236.0,76.8680423782194,77.14237447136144,76.86804237834964,2.7,2011-03-16T10:37:25.380000Z,13.2935904710567,2011-03-16T10:37:28.673590Z,2011-03-16T10:40:28.673590Z,46.092,-122.017,6500.0,BH*
TA,F04D,-123.010803,46.082901,236.0,65.22107464770822,65.52464100032492,65.22107464785796,2.8,2011-02-17T10:55:04.590000Z,11.291766681693066,2011-02-17T10:55:05.881767Z,2011-02-17T10:58:05.881767Z,46.2787,-122.2145,6300.0,BH*
TA,F04D,-123.010803,46.082901,236.0,64.97390815405495,65.14367767351507,64.97390815420314,2.5,2011-02-15T05:09:32.390000Z,11.227497747061312,2011-02-15T05:09:33.617498Z,2011-02-15T05:12:33.617498Z,46.2793,-122.2182,4700.0,BH*
TA,F04D,-123.010803,46.082901,236.0,65.05722323935656,65.22677591016547,65.05722323950619,2.7,2011-02-14T20:21:42.520000Z,11.24181956464456,2011-02-14T20:21:43.761820Z,2011-02-14T20:24:43.761820Z,46.2782,-122.2165,4700.0,BH*
TA,F04D,-123.010803,46.082901,236.0,65.34601949540249,65.56875981680015,65.34601949555326,2.8,2011-02-14T19:35:08.000000Z,11.300148186450716,2011-02-14T19:35:09.300148Z,2011-02-14T19:38:09.300148Z,46.285,-122.216,5400.0,BH*
TA,F04D,-123.010803,46.082901,236.0,65.66891720308351,65.82983128221703,65.66891720323366,3.6,2011-02-14T18:37:45.380000Z,11.345842741448305,2011-02-14T18:37:46.725843Z,2011-02-14T18:40:46.725843Z,46.28,-122.209,4600.0,BH*
TA,F04D,-123.010803,46.082901,236.0,66.20979991057743,66.5280963519873,66.20979991073305,3.8,2011-02-14T18:35:25.580000Z,11.464513425641364,2011-02-14T18:35:27.044513Z,2011-02-14T18:38:27.044513Z,46.2934,-122.2085,6500.0,BH*
TA,F04D,-123.010803,46.082901,236.0,66.50914011688397,66.62338717828517,66.50914011703725,2.8,2011-01-29T22:44:14.320000Z,11.48323462311232,2011-01-29T22:44:15.803235Z,2011-01-29T22:47:15.803235Z,46.287,-122.201,3900.0,BH*
TA,F04D,-123.010803,46.082901,236.0,65.77933286513625,65.87238140679469,65.77933286528703,2.9,2011-01-29T22:26:22.640000Z,11.354145580531206,2011-01-29T22:26:23.994146Z,2011-01-29T22:29:23.994146Z,46.283,-122.209,3500.0,BH*
TA,F04D,-123.010803,46.082901,236.0,104.36966696364648,107.29882283653752,104.36966696366652,2.5,2011-01-27T01:34:47.890000Z,17.585566004841755,2011-01-27T01:34:55.475566Z,2011-01-27T01:37:55.475566Z,45.1595,-122.7675,24900.0,BH*
TA,F04D,-123.010803,46.082901,236.0,195.93771608743623,196.79976774805968,195.9377160877666,2.5,2011-01-12T02:59:48.700000Z,29.54847514972813,2011-01-12T03:00:08.248475Z,2011-01-12T03:03:08.248475Z,46.1473,-120.4777,18400.0,BH*
TA,F04D,-123.010803,46.082901,236.0,205.2835338006533,205.64573725143265,205.28353380065647,2.5,2010-12-07T16:18:39.340000Z,31.447244315082603,2010-12-07T16:19:00.787244Z,2010-12-07T16:22:00.787244Z,44.2423,-123.2306,12200.0,BH*
